leaflet_name,url,source
Radiotherapy for primary breast cancer,https://breastcancernow.org/download-and-order-publications/radiotherapy-for-primary-breast-cancer-bcc26,Breast Cancer Now
Reducing the risk of lymphoedema,https://breastcancernow.org/download-and-order-publications/reducing-the-risk-of-lymphoedema-bcc15,Breast Cancer Now
Bcn 408 Updated Moving Forward Booklet Final,https://breastcancernow.org/media-assets/cycblwbu/bcn_408_updated-moving-forward-booklet_final.pdf,Breast Cancer Now
Bcc197 Moving Forward Web Pdf,https://breastcancernow.org/media-assets/u53ppcgk/bcc197-moving-forward-web-pdf.pdf,Breast Cancer Now
Mummys Lump 2015 Web,https://breastcancernow.org/media-assets/1khf05fy/mummys-lump_2015_web.pdf,Breast Cancer Now
Bcn259 Our Publications Flyer November 2025 Web,https://breastcancernow.org/media-assets/z4hnpini/bcn259-our-publications-flyer-november-2025-web.pdf,Breast Cancer Now
Bcc34 Paclitaxel Web,https://breastcancernow.org/media-assets/bh5jfiol/bcc34-paclitaxel-web.pdf,Breast Cancer Now
Bcc154 Periductal Mastitis 2025 Web,https://breastcancernow.org/media-assets/1hup20xn/bcc154-periductal-mastitis-2025-web.pdf,Breast Cancer Now
Bcn265 Phesgo Pertuzumab And Trastuzumab Web,https://breastcancernow.org/media-assets/cuklgpgm/bcn265-phesgo-pertuzumab-and-trastuzumab-web.pdf,Breast Cancer Now
Bcn 532 Public Health Talks Poster A4 01,https://breastcancernow.org/media-assets/gs5hsacg/bcn_532_public_health_talks_poster_a4_01.pdf,Breast Cancer Now
Bcn 532 Public Health Talks Poster A5 01,https://breastcancernow.org/media-assets/fmvo4se4/bcn_532_public_health_talks_poster_a5_01.pdf,Breast Cancer Now
Bcc26 Radiotherapy For Primary Breast Cancer Web Pdf,https://breastcancernow.org/media-assets/zvfnhgn1/bcc26-radiotherapy-for-primary-breast-cancer-web-pdf.pdf,Breast Cancer Now
Bbc15 Reducing The Risk Of Lymphoedema Web Pdf,https://breastcancernow.org/media-assets/4icd5jsj/bbc15-reducing-the-risk-of-lymphoedema-web-pdf.pdf,Breast Cancer Now
Reducing your risk of breast cancer,https://breastcancernow.org/download-and-order-publications/reducing-your-risk-of-breast-cancer-bcn240,Breast Cancer Now
Sclerosing lesions of the breast,https://breastcancernow.org/download-and-order-publications/sclerosing-lesions-of-the-breast-bcc80,Breast Cancer Now
Secondary breast cancer in the bone,https://breastcancernow.org/download-and-order-publications/secondary-breast-cancer-in-the-bone-bcc30,Breast Cancer Now
Secondary breast cancer in the brain,https://breastcancernow.org/download-and-order-publications/secondary-breast-cancer-in-the-brain-bcc56,Breast Cancer Now
Secondary breast cancer in the liver,https://breastcancernow.org/download-and-order-publications/secondary-breast-cancer-in-the-liver-bcc36,Breast Cancer Now
Secondary breast cancer in the lung,https://breastcancernow.org/download-and-order-publications/secondary-breast-cancer-in-the-lung-bcc40,Breast Cancer Now
Secondary breast cancer information pack,https://breastcancernow.org/download-and-order-publications/secondary-breast-cancer-information-pack-bcc173,Breast Cancer Now
Secondary breast cancer personal organiser,https://breastcancernow.org/download-and-order-publications/secondary-breast-cancer-personal-organiser-bcc236,Breast Cancer Now
Signs and symptoms of breast cancer recurrence infographic,https://breastcancernow.org/download-and-order-publications/signs-and-symptoms-of-breast-cancer-recurrence-infographic-bcn003,Breast Cancer Now
Signs and symptoms of secondary breast cancer infographic,https://breastcancernow.org/download-and-order-publications/signs-and-symptoms-of-secondary-breast-cancer-infographic-bcn002,Breast Cancer Now
Signs and symptoms of secondary breast cancer progression,https://breastcancernow.org/download-and-order-publications/signs-and-symptoms-of-secondary-breast-cancer-progression-bcn258,Breast Cancer Now
Support for you - Primary,https://breastcancernow.org/download-and-order-publications/support-for-you-primary-breast-cancer-bcn400,Breast Cancer Now
Bcn240 Reducing Your Risk Of Breast Cancer Web,https://breastcancernow.org/media-assets/xhzihtmf/bcn240-reducing-your-risk-of-breast-cancer-web.pdf,Breast Cancer Now
Bcc80 Sclerosing Lesions Of The Breast Web Pdf,https://breastcancernow.org/media-assets/1v2jfpzy/bcc80-sclerosing-lesions-of-the-breast-web-pdf.pdf,Breast Cancer Now
Bcc30 Secondary Breast Cancer In The Bone Web,https://breastcancernow.org/media-assets/cfbnzvs3/bcc30-secondary-breast-cancer-in-the-bone-web.pdf,Breast Cancer Now
Bcc56 Secondary Breast Cancer In The Brain Web Pdf,https://breastcancernow.org/media-assets/ifrosjoe/bcc56-secondary-breast-cancer-in-the-brain-web-pdf.pdf,Breast Cancer Now
Bcc36 Metastatic Secondary Breast Cancer In The Liver Web,https://breastcancernow.org/media-assets/k3shqwc1/bcc36-metastatic-secondary-breast-cancer-in-the-liver-web.pdf,Breast Cancer Now
Bcc40 Secondary Breast Cancer In The Lung Web,https://breastcancernow.org/media-assets/r4qh4eat/bcc40-secondary-breast-cancer-in-the-lung-web.pdf,Breast Cancer Now
Bcc173 Secondary Breast Cancer Resource Pack 2022 Web Pdf,https://breastcancernow.org/media-assets/44ribte5/bcc173-secondary-breast-cancer-resource-pack-2022-web-pdf.pdf,Breast Cancer Now
Bcc236 Secondary Breast Cancer Personal Organiser 2022 Web Pdf,https://breastcancernow.org/media-assets/2clfcgc3/bcc236-secondary-breast-cancer-personal-organiser-2022-web-pdf.pdf,Breast Cancer Now
Bcn003 Signs And Symptoms Of Breast Cancer Recurrence Infographic Web,https://breastcancernow.org/media-assets/kmujvftz/bcn003-signs-and-symptoms-of-breast-cancer-recurrence-infographic-web.pdf,Breast Cancer Now
Bcn002 Possible Signs Of Secondary Breast Cancer,https://breastcancernow.org/media-assets/psofclut/bcn002_possible_signs_of_secondary_breast_cancer.pdf,Breast Cancer Now
Bcn258 Signs And Symptoms Of Secondary Breast Cancer Progression 2023 Web,https://breastcancernow.org/media-assets/xdyfdree/bcn258-signs-and-symptoms-of-secondary-breast-cancer-progression-2023-web.pdf,Breast Cancer Now
Bcn400 Support For You Primary,https://breastcancernow.org/media-assets/41tbye0w/bcn400-support-for-you-primary.pdf,Breast Cancer Now
Support for you - Secondary,https://breastcancernow.org/download-and-order-publications/support-for-you-secondary-breast-cancer-bcn401,Breast Cancer Now
Tamoxifen,https://breastcancernow.org/download-and-order-publications/tamoxifen-bcc20,Breast Cancer Now
TLC A4 Infographic,https://breastcancernow.org/download-and-order-publications/tlc-a4-infographic-bcn001,Breast Cancer Now
TLC Infographic men,https://breastcancernow.org/download-and-order-publications/tlc-infographic-men-bcn261,Breast Cancer Now
TLC Postcard,https://breastcancernow.org/download-and-order-publications/tlc-postcard-bcn247,Breast Cancer Now
Trastuzumab,https://breastcancernow.org/download-and-order-publications/trastuzumab-bcc41,Breast Cancer Now
Treating primary breast cancer,https://breastcancernow.org/download-and-order-publications/treating-primary-breast-cancer-bcc4,Breast Cancer Now
"Treating primary breast cancer, Bengali",https://breastcancernow.org/download-and-order-publications/treating-primary-breast-cancer-bengali-bcn252,Breast Cancer Now
"Treating primary breast cancer, Polish",https://breastcancernow.org/download-and-order-publications/treating-primary-breast-cancer-polish-bcn250,Breast Cancer Now
